tahun,nama_provinsi,nama_kabupaten/kota,nama_kecamatan,nama_kelurahan ,kewarganegaraan,jenis_kelamin,jumlah
2020,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,WNI,Laki-Laki,3632
2020,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,WNI,Laki-Laki,3621
2020,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,WNI,Laki-Laki,1320
2020,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,WNI,Laki-Laki,1309
2020,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,WNI,Laki-Laki,3062
2020,DKI Jakarta,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. PARI,WNI,Laki-Laki,1871
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,WNI,Laki-Laki,1560
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,WNI,Laki-Laki,9511
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,WNI,Laki-Laki,11238
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,WNI,Laki-Laki,9698
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,WNI,Laki-Laki,6540
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,WNI,Laki-Laki,13030
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,WNI,Laki-Laki,7894
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,WNI,Laki-Laki,16780
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARTINI,WNI,Laki-Laki,13799
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,WNI,Laki-Laki,10219
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,WNI,Laki-Laki,18184
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,WNI,Laki-Laki,13272
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,WNI,Laki-Laki,19129
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,WNI,Laki-Laki,14832
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SERDANG,WNI,Laki-Laki,19002
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,WNI,Laki-Laki,12579
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,WNI,Laki-Laki,21293
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,WNI,Laki-Laki,14628
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,WNI,Laki-Laki,19364
2020,DKI Jakarta,JAKARTA PUSAT,SENEN,SENEN,WNI,Laki-Laki,4409
2020,DKI Jakarta,JAKARTA PUSAT,SENEN,KENARI,WNI,Laki-Laki,5985
2020,DKI Jakarta,JAKARTA PUSAT,SENEN,PASEBAN,WNI,Laki-Laki,15025
2020,DKI Jakarta,JAKARTA PUSAT,SENEN,KRAMAT,WNI,Laki-Laki,18624
2020,DKI Jakarta,JAKARTA PUSAT,SENEN,KWITANG,WNI,Laki-Laki,9854
2020,DKI Jakarta,JAKARTA PUSAT,SENEN,BUNGUR,WNI,Laki-Laki,11587
2020,DKI Jakarta,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,WNI,Laki-Laki,14833
2020,DKI Jakarta,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,WNI,Laki-Laki,22559
2020,DKI Jakarta,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,WNI,Laki-Laki,13661
2020,DKI Jakarta,JAKARTA PUSAT,MENTENG,MENTENG,WNI,Laki-Laki,16032
2020,DKI Jakarta,JAKARTA PUSAT,MENTENG,PEGANGSAAN,WNI,Laki-Laki,14798
2020,DKI Jakarta,JAKARTA PUSAT,MENTENG,CIKINI,WNI,Laki-Laki,5256
2020,DKI Jakarta,JAKARTA PUSAT,MENTENG,GONDANGDIA,WNI,Laki-Laki,2317
2020,DKI Jakarta,JAKARTA PUSAT,MENTENG,KEBON SIRIH,WNI,Laki-Laki,7931
2020,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,GELORA,WNI,Laki-Laki,1944
2020,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,WNI,Laki-Laki,13291
2020,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,WNI,Laki-Laki,12383
2020,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,WNI,Laki-Laki,21792
2020,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,WNI,Laki-Laki,21218
2020,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,WNI,Laki-Laki,13675
2020,DKI Jakarta,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,WNI,Laki-Laki,7469
2020,DKI Jakarta,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,WNI,Laki-Laki,23551
2020,DKI Jakarta,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,WNI,Laki-Laki,13906
2020,DKI Jakarta,JAKARTA PUSAT,JOHAR BARU,GALUR,WNI,Laki-Laki,11930
2020,DKI Jakarta,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,WNI,Laki-Laki,24705
2020,DKI Jakarta,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,WNI,Laki-Laki,57901
2020,DKI Jakarta,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,WNI,Laki-Laki,8203
2020,DKI Jakarta,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,WNI,Laki-Laki,22476
2020,DKI Jakarta,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,WNI,Laki-Laki,45836
2020,DKI Jakarta,JAKARTA UTARA,PENJARINGAN,PLUIT,WNI,Laki-Laki,28224
2020,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,WNI,Laki-Laki,22150
2020,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,WNI,Laki-Laki,39795
2020,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,WNI,Laki-Laki,25138
2020,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,WNI,Laki-Laki,19243
2020,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,WNI,Laki-Laki,32810
2020,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,WNI,Laki-Laki,43542
2020,DKI Jakarta,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,WNI,Laki-Laki,28689
2020,DKI Jakarta,JAKARTA UTARA,KOJA,KOJA,WNI,Laki-Laki,18637
